,vc,br,conc,cond,well,log10conc,dose_conds_rlu
1,VC DMSO 0.3%,1,0.00411522633744856,Ak_07,A23,-2.38560627359831,1.00999828359775
2,VC DMSO 0.3%,1,0.0123456790123457,Ak_07,A21,-1.90848501887865,0.92444098230478
3,VC DMSO 0.3%,1,0.037037037037037,Ak_07,A19,-1.43136376415899,0.870757903047867
4,VC DMSO 0.3%,1,0.111111111111111,Ak_07,A17,-0.954242509439325,0.882299962336522
5,VC DMSO 0.3%,1,0.333333333333333,Ak_07,A15,-0.477121254719662,0.787746695128873
6,VC DMSO 0.3%,1,1,Ak_07,A13,0,0.750644318788834
7,VC DMSO 0.3%,1,0.00411522633744856,Am_72,A11,-2.38560627359831,0.844308640769909
8,VC DMSO 0.3%,1,0.0123456790123457,Am_72,A9,-1.90848501887865,0.807307015803867
9,VC DMSO 0.3%,1,0.037037037037037,Am_72,A7,-1.43136376415899,1.03478767714621
10,VC DMSO 0.3%,1,0.111111111111111,Am_72,A5,-0.954242509439325,0.916570989534207
11,VC DMSO 0.3%,1,0.333333333333333,Am_72,A3,-0.477121254719662,0.869062025151306
12,VC DMSO 0.3%,1,1,Am_72,A1,0,0.872917901619026
13,VC DMSO 0.3%,1,0.00411522633744856,Am_86,A12,-2.38560627359831,0.831285288254189
14,VC DMSO 0.3%,1,0.0123456790123457,Am_86,A10,-1.90848501887865,0.816685175631881
15,VC DMSO 0.3%,1,0.037037037037037,Am_86,A8,-1.43136376415899,0.837989730747265
16,VC DMSO 0.3%,1,0.111111111111111,Am_86,A6,-0.954242509439325,0.829132924534136
17,VC DMSO 0.3%,1,0.333333333333333,Am_86,A4,-0.477121254719662,0.813384336457687
18,VC DMSO 0.3%,1,1,Am_86,A2,0,0.838272734699293
19,VC DMSO 0.3%,1,0.00411522633744856,Fh_12,A24,-2.38560627359831,0.990030631290907
20,VC DMSO 0.3%,1,0.0123456790123457,Fh_12,A22,-1.90848501887865,0.973666660102548
21,VC DMSO 0.3%,1,0.037037037037037,Fh_12,A20,-1.43136376415899,0.954096356084932
22,VC DMSO 0.3%,1,0.111111111111111,Fh_12,A18,-0.954242509439325,0.894726821321261
23,VC DMSO 0.3%,1,0.333333333333333,Fh_12,A16,-0.477121254719662,0.865382051164374
24,VC DMSO 0.3%,1,1,Fh_12,A14,0,0.812767589013644
25,VC DMSO 0.3%,1,0.00411522633744856,Gc_07,B11,-2.38560627359831,0.77170392390776
26,VC DMSO 0.3%,1,0.0123456790123457,Gc_07,B9,-1.90848501887865,0.822041134502201
27,VC DMSO 0.3%,1,0.037037037037037,Gc_07,B7,-1.43136376415899,0.762006810333505
28,VC DMSO 0.3%,1,0.111111111111111,Gc_07,B5,-0.954242509439325,0.803158205818999
29,VC DMSO 0.3%,1,0.333333333333333,Gc_07,B3,-0.477121254719662,0.84454446599867
