,vc,br,conc,cond,well,log10conc,dose_conds_rlu,dose_conds_rfu
1,VC DMSO 0.3%,3,0.00411522633744856,Ak_07,A23,-2.38560627359831,0.782238389558705,0.778113384782203
2,VC DMSO 0.3%,3,0.0123456790123457,Ak_07,A21,-1.90848501887865,0.888077882579445,0.843218878293642
3,VC DMSO 0.3%,3,0.037037037037037,Ak_07,A19,-1.43136376415899,0.940956200073884,0.834910106368776
4,VC DMSO 0.3%,3,0.111111111111111,Ak_07,A17,-0.954242509439325,1.03069066651421,0.824852960382265
5,VC DMSO 0.3%,3,0.333333333333333,Ak_07,A15,-0.477121254719662,0.966545653219878,0.82469789540688
6,VC DMSO 0.3%,3,1,Ak_07,A13,0,0.929641809300347,0.902941518321394
7,VC DMSO 0.3%,3,0.00411522633744856,Am_72,A11,-2.38560627359831,0.786523349606381,0.784838127577698
8,VC DMSO 0.3%,3,0.0123456790123457,Am_72,A9,-1.90848501887865,0.821081431771676,0.833540790505403
9,VC DMSO 0.3%,3,0.037037037037037,Am_72,A7,-1.43136376415899,0.827579472436027,0.796370712963371
10,VC DMSO 0.3%,3,0.111111111111111,Am_72,A5,-0.954242509439325,0.953054055518555,0.876919553658153
11,VC DMSO 0.3%,3,0.333333333333333,Am_72,A3,-0.477121254719662,0.748255576078682,0.754072722641964
12,VC DMSO 0.3%,3,1,Am_72,A1,0,0.448206966873043,0.78494801043071
13,VC DMSO 0.3%,3,0.00411522633744856,Am_86,A12,-2.38560627359831,0.647425322394005,0.794312184940716
14,VC DMSO 0.3%,3,0.0123456790123457,Am_86,A10,-1.90848501887865,0.804018527690605,0.828789178176992
15,VC DMSO 0.3%,3,0.037037037037037,Am_86,A8,-1.43136376415899,0.848046744849162,0.8263910939422
16,VC DMSO 0.3%,3,0.111111111111111,Am_86,A6,-0.954242509439325,0.746018277620049,0.882342077199636
17,VC DMSO 0.3%,3,0.333333333333333,Am_86,A4,-0.477121254719662,0.770271151038704,0.819579866270369
18,VC DMSO 0.3%,3,1,Am_86,A2,0,0.40248321878108,0.940977036307642
19,VC DMSO 0.3%,3,0.00411522633744856,Fh_12,A24,-2.38560627359831,0.706997667978986,0.78447855540237
20,VC DMSO 0.3%,3,0.0123456790123457,Fh_12,A22,-1.90848501887865,0.855809057630435,0.867116948777001
21,VC DMSO 0.3%,3,0.037037037037037,Fh_12,A20,-1.43136376415899,0.884016286158442,0.902118929291472
22,VC DMSO 0.3%,3,0.111111111111111,Fh_12,A18,-0.954242509439325,0.911259335508551,0.860788777933189
23,VC DMSO 0.3%,3,0.333333333333333,Fh_12,A16,-0.477121254719662,0.955760452936737,0.855775773006582
24,VC DMSO 0.3%,3,1,Fh_12,A14,0,0.889551260590279,0.915587713968553
25,VC DMSO 0.3%,3,0.00411522633744856,Gc_07,B11,-2.38560627359831,0.741526351090364,0.952220824838773
26,VC DMSO 0.3%,3,0.0123456790123457,Gc_07,B9,-1.90848501887865,0.872489078419728,0.932386207544972
27,VC DMSO 0.3%,3,0.037037037037037,Gc_07,B7,-1.43136376415899,0.700028140786441,0.925340885200236
28,VC DMSO 0.3%,3,0.111111111111111,Gc_07,B5,-0.954242509439325,0.665213223914033,0.849972682051886
29,VC DMSO 0.3%,3,0.333333333333333,Gc_07,B3,-0.477121254719662,0.655925668363042,0.928189387774877
30,VC DMSO 0.3%,3,1,Gc_07,B1,0,0.779474780731853,1.01556744152457
31,VC DMSO 0.3%,3,0.00411522633744856,Gc_23,B23,-2.38560627359831,0.71174302646047,0.936661396731046
32,VC DMSO 0.3%,3,0.0123456790123457,Gc_23,B21,-1.90848501887865,0.785773461294304,0.865422023219581
33,VC DMSO 0.3%,3,0.037037037037037,Gc_23,B19,-1.43136376415899,0.921315485125965,0.927963758425793
34,VC DMSO 0.3%,3,0.111111111111111,Gc_23,B17,-0.954242509439325,0.860358924999211,0.849593879391146
35,VC DMSO 0.3%,3,0.333333333333333,Gc_23,B15,-0.477121254719662,0.932223921550706,0.914468166318276
36,VC DMSO 0.3%,3,1,Gc_23,B13,0,0.359172595718703,0.771849112041083
37,VC DMSO 0.3%,3,0.00411522633744856,Gc_25,C11,-2.38560627359831,0.898796264780077,0.946574270344033
38,VC DMSO 0.3%,3,0.0123456790123457,Gc_25,C9,-1.90848501887865,0.774144441612638,0.854971015008217
39,VC DMSO 0.3%,3,0.037037037037037,Gc_25,C7,-1.43136376415899,0.892978384143511,0.86765992143828
40,VC DMSO 0.3%,3,0.111111111111111,Gc_25,C5,-0.954242509439325,0.874060542262447,0.932126548828943
41,VC DMSO 0.3%,3,0.333333333333333,Gc_25,C3,-0.477121254719662,0.771437871236728,0.818770608067445
42,VC DMSO 0.3%,3,1,Gc_25,C1,0,0.353676367578029,0.912243171887344
43,VC DMSO 0.3%,3,0.00411522633744856,Gc_26,C12,-2.38560627359831,0.719566509878418,0.894762760118867
44,VC DMSO 0.3%,3,0.0123456790123457,Gc_26,C10,-1.90848501887865,0.782622118839372,0.983744018602804
45,VC DMSO 0.3%,3,0.037037037037037,Gc_26,C8,-1.43136376415899,0.7895918453093,0.946031316547939
46,VC DMSO 0.3%,3,0.111111111111111,Gc_26,C6,-0.954242509439325,0.699044180508319,0.885005160713338
47,VC DMSO 0.3%,3,0.333333333333333,Gc_26,C4,-0.477121254719662,0.596526964817704,0.931015615708964
48,VC DMSO 0.3%,3,1,Gc_26,C2,0,0.214510555975833,0.915109968548125
49,VC DMSO 0.3%,3,0.00411522633744856,Gc_28,C23,-2.38560627359831,0.838186135223815,0.921221287499763
50,VC DMSO 0.3%,3,0.0123456790123457,Gc_28,C21,-1.90848501887865,0.962407962918179,0.898880292938897
51,VC DMSO 0.3%,3,0.037037037037037,Gc_28,C19,-1.43136376415899,0.878733119379735,0.981191179810699
52,VC DMSO 0.3%,3,0.111111111111111,Gc_28,C17,-0.954242509439325,1.00968626635491,0.849546100733063
53,VC DMSO 0.3%,3,0.333333333333333,Gc_28,C15,-0.477121254719662,0.925979538435192,0.91608998756185
54,VC DMSO 0.3%,3,1,Gc_28,C13,0,0.284813661518894,1.0255627508588
55,VC DMSO 0.3%,3,0.00411522633744856,Gc_32,C24,-2.38560627359831,0.626229830264229,0.871295251508747
56,VC DMSO 0.3%,3,0.0123456790123457,Gc_32,C22,-1.90848501887865,0.964228042215951,0.932920725172533
57,VC DMSO 0.3%,3,0.037037037037037,Gc_32,C20,-1.43136376415899,0.898881660778612,0.976669139655413
58,VC DMSO 0.3%,3,0.111111111111111,Gc_32,C18,-0.954242509439325,0.918908161700189,0.95177242678893
59,VC DMSO 0.3%,3,0.333333333333333,Gc_32,C16,-0.477121254719662,0.792290880744163,0.900959757888858
60,VC DMSO 0.3%,3,1,Gc_32,C14,0,0.311638713398364,0.89168116444124
61,VC DMSO 0.3%,3,0.00411522633744856,Gc_33,D11,-2.38560627359831,0.98548758886453,0.972667346471388
62,VC DMSO 0.3%,3,0.0123456790123457,Gc_33,D9,-1.90848501887865,1.06450032674817,1.00028304040004
63,VC DMSO 0.3%,3,0.037037037037037,Gc_33,D7,-1.43136376415899,0.935820073684166,0.894255228283506
64,VC DMSO 0.3%,3,0.111111111111111,Gc_33,D5,-0.954242509439325,1.02019442219635,0.949935417219656
65,VC DMSO 0.3%,3,0.333333333333333,Gc_33,D3,-0.477121254719662,0.771412871325039,0.986884384482348
66,VC DMSO 0.3%,3,1,Gc_33,D1,0,0.391533847773914,0.873479155847823
67,VC DMSO 0.3%,3,0.00411522633744856,Gc_34,D23,-2.38560627359831,0.877942394243949,0.908854190286114
68,VC DMSO 0.3%,3,0.0123456790123457,Gc_34,D21,-1.90848501887865,0.961495776337488,0.993848835201329
69,VC DMSO 0.3%,3,0.037037037037037,Gc_34,D19,-1.43136376415899,0.933805909495218,0.970623938038441
70,VC DMSO 0.3%,3,0.111111111111111,Gc_34,D17,-0.954242509439325,1.10453737136088,0.96349081882938
71,VC DMSO 0.3%,3,0.333333333333333,Gc_34,D15,-0.477121254719662,0.782689794190624,0.959206010113057
72,VC DMSO 0.3%,3,1,Gc_34,D13,0,0.388437509636636,0.891533206496225
73,VC DMSO 0.3%,3,0.00411522633744856,Gc_35,E11,-2.38560627359831,1.07309252455096,0.984765487861952
74,VC DMSO 0.3%,3,0.0123456790123457,Gc_35,E9,-1.90848501887865,0.957728396052684,0.978964511523192
75,VC DMSO 0.3%,3,0.037037037037037,Gc_35,E7,-1.43136376415899,0.916902329561819,0.889485736903066
76,VC DMSO 0.3%,3,0.111111111111111,Gc_35,E5,-0.954242509439325,0.819780849811594,0.904742622295146
77,VC DMSO 0.3%,3,0.333333333333333,Gc_35,E3,-0.477121254719662,0.733661346537693,0.977020785022253
78,VC DMSO 0.3%,3,1,Gc_35,E1,0,0.395135417996221,0.948206403984715
79,VC DMSO 0.3%,3,0.00411522633744856,Gc_36,E12,-2.38560627359831,1.06503348774642,0.937003155024989
80,VC DMSO 0.3%,3,0.0123456790123457,Gc_36,E10,-1.90848501887865,0.97594310084771,1.00271339267934
81,VC DMSO 0.3%,3,0.037037037037037,Gc_36,E8,-1.43136376415899,1.00910888833734,0.976271068778887
82,VC DMSO 0.3%,3,0.111111111111111,Gc_36,E6,-0.954242509439325,0.928942097529326,0.980255694642929
83,VC DMSO 0.3%,3,0.333333333333333,Gc_36,E4,-0.477121254719662,0.829870613387572,0.930754989723358
84,VC DMSO 0.3%,3,1,Gc_36,E2,0,0.407384190338973,0.968612665593691
85,VC DMSO 0.3%,3,0.00411522633744856,Gc_37,E23,-2.38560627359831,0.896431440076185,0.951694813695439
86,VC DMSO 0.3%,3,0.0123456790123457,Gc_37,E21,-1.90848501887865,0.926107910669341,0.986511755882742
87,VC DMSO 0.3%,3,0.037037037037037,Gc_37,E19,-1.43136376415899,1.04722895220484,0.948089288905091
88,VC DMSO 0.3%,3,0.111111111111111,Gc_37,E17,-0.954242509439325,1.09207760938895,0.889074679917957
89,VC DMSO 0.3%,3,0.333333333333333,Gc_37,E15,-0.477121254719662,0.982669129877998,0.935008435924143
90,VC DMSO 0.3%,3,1,Gc_37,E13,0,0.469782304254494,0.909074132638889
91,VC DMSO 0.3%,3,0.00411522633744856,Ko_09,E24,-2.38560627359831,0.833771287681889,0.963619472543253
92,VC DMSO 0.3%,3,0.0123456790123457,Ko_09,E22,-1.90848501887865,0.916497702475593,0.933745255601677
93,VC DMSO 0.3%,3,0.037037037037037,Ko_09,E20,-1.43136376415899,0.946327759531771,0.931881388866476
94,VC DMSO 0.3%,3,0.111111111111111,Ko_09,E18,-0.954242509439325,1.11333282457441,0.946000391361732
95,VC DMSO 0.3%,3,0.333333333333333,Ko_09,E16,-0.477121254719662,0.91059997928756,0.891651016157724
96,VC DMSO 0.3%,3,1,Ko_09,E14,0,0.586960191573545,0.982021356075745
97,VC DMSO 0.3%,3,0.00411522633744856,Ko_11,F11,-2.38560627359831,1.00527452077225,0.929027149560032
98,VC DMSO 0.3%,3,0.0123456790123457,Ko_11,F9,-1.90848501887865,1.00172052144522,0.93607958922524
99,VC DMSO 0.3%,3,0.037037037037037,Ko_11,F7,-1.43136376415899,0.970827462428933,0.996647183819366
100,VC DMSO 0.3%,3,0.111111111111111,Ko_11,F5,-0.954242509439325,0.908064246028128,0.939830590331031
101,VC DMSO 0.3%,3,0.333333333333333,Ko_11,F3,-0.477121254719662,0.814346292381028,0.914351996213011
102,VC DMSO 0.3%,3,1,Ko_11,F1,0,0.395223468519895,0.945783410843285
103,VC DMSO 0.3%,3,0.00411522633744856,Ko_15,F23,-2.38560627359831,0.87478418611918,0.966145356413463
104,VC DMSO 0.3%,3,0.0123456790123457,Ko_15,F21,-1.90848501887865,0.898027572954938,0.860991295713433
105,VC DMSO 0.3%,3,0.037037037037037,Ko_15,F19,-1.43136376415899,0.913243698328867,0.915760848362855
106,VC DMSO 0.3%,3,0.111111111111111,Ko_15,F17,-0.954242509439325,1.10873008477999,0.921201213225995
107,VC DMSO 0.3%,3,0.333333333333333,Ko_15,F15,-0.477121254719662,1.06987133725327,0.927342908558406
108,VC DMSO 0.3%,3,1,Ko_15,F13,0,0.659462232799039,1.23999424128168
109,VC DMSO 0.3%,3,0.00411522633744856,Ko_16,G11,-2.38560627359831,0.958069122778084,1.0243639505588
110,VC DMSO 0.3%,3,0.0123456790123457,Ko_16,G9,-1.90848501887865,0.855927409596176,0.993645701729988
111,VC DMSO 0.3%,3,0.037037037037037,Ko_16,G7,-1.43136376415899,0.747039566687949,0.971890244836863
112,VC DMSO 0.3%,3,0.111111111111111,Ko_16,G5,-0.954242509439325,0.575804169920222,0.973448953455522
113,VC DMSO 0.3%,3,0.333333333333333,Ko_16,G3,-0.477121254719662,-0.229658652563152,-0.183473444489695
114,VC DMSO 0.3%,3,1,Ko_16,G1,0,-0.249131049561509,-0.282456321855336
115,VC DMSO 0.3%,3,0.00411522633744856,Ko_17,G12,-2.38560627359831,0.960602769264921,1.00779384064874
116,VC DMSO 0.3%,3,0.0123456790123457,Ko_17,G10,-1.90848501887865,0.943430695017529,0.994042815627039
117,VC DMSO 0.3%,3,0.037037037037037,Ko_17,G8,-1.43136376415899,0.861621166742795,0.984103640513624
118,VC DMSO 0.3%,3,0.111111111111111,Ko_17,G6,-0.954242509439325,0.593931249065993,0.986381779890775
119,VC DMSO 0.3%,3,0.333333333333333,Ko_17,G4,-0.477121254719662,-0.166319652363839,0.194042476739682
120,VC DMSO 0.3%,3,1,Ko_17,G2,0,-0.240290334062382,-0.159968461043515
121,VC DMSO 0.3%,3,0.00411522633744856,Ko_18,G23,-2.38560627359831,0.866988932410506,0.933623604302139
122,VC DMSO 0.3%,3,0.0123456790123457,Ko_18,G21,-1.90848501887865,0.821567585867247,0.972512723970383
123,VC DMSO 0.3%,3,0.037037037037037,Ko_18,G19,-1.43136376415899,0.903167079540265,0.868982789496748
124,VC DMSO 0.3%,3,0.111111111111111,Ko_18,G17,-0.954242509439325,0.954269767873188,0.990662784699434
125,VC DMSO 0.3%,3,0.333333333333333,Ko_18,G15,-0.477121254719662,0.872460051600924,0.987757024567854
126,VC DMSO 0.3%,3,1,Ko_18,G13,0,0.448014385962116,1.19469023265098
127,VC DMSO 0.3%,3,0.00411522633744856,Ko_20,G24,-2.38560627359831,0.764385147616761,0.92126029727602
128,VC DMSO 0.3%,3,0.0123456790123457,Ko_20,G22,-1.90848501887865,0.876062020377997,0.904467471830725
129,VC DMSO 0.3%,3,0.037037037037037,Ko_20,G20,-1.43136376415899,0.916950389250674,0.969670580678709
130,VC DMSO 0.3%,3,0.111111111111111,Ko_20,G18,-0.954242509439325,0.633423845308683,0.969627816730279
131,VC DMSO 0.3%,3,0.333333333333333,Ko_20,G16,-0.477121254719662,0.482891778174065,1.16896371910817
132,VC DMSO 0.3%,3,1,Ko_20,G14,0,-0.208463231872438,-0.143642151087455
133,VC DMSO 0.3%,3,0.00411522633744856,Ko_21,H11,-2.38560627359831,0.995887552126804,1.07346429162414
134,VC DMSO 0.3%,3,0.0123456790123457,Ko_21,H9,-1.90848501887865,0.661549524267641,1.12570828625658
135,VC DMSO 0.3%,3,0.037037037037037,Ko_21,H7,-1.43136376415899,0.563654502355975,1.11314641456436
136,VC DMSO 0.3%,3,0.111111111111111,Ko_21,H5,-0.954242509439325,0.506924002650397,1.10159394012676
137,VC DMSO 0.3%,3,0.333333333333333,Ko_21,H3,-0.477121254719662,0.348692710946,1.02122444218775
138,VC DMSO 0.3%,3,1,Ko_21,H1,0,-0.246978395111286,-0.238513944096918
139,VC DMSO 0.3%,3,0.00411522633744856,Ko_22,H23,-2.38560627359831,0.947693903750855,0.909219919372405
140,VC DMSO 0.3%,3,0.0123456790123457,Ko_22,H21,-1.90848501887865,0.912562624633081,0.964415763502782
141,VC DMSO 0.3%,3,0.037037037037037,Ko_22,H19,-1.43136376415899,1.1562362976237,0.90746163765766
142,VC DMSO 0.3%,3,0.111111111111111,Ko_22,H17,-0.954242509439325,1.05069353238617,0.972849230882328
143,VC DMSO 0.3%,3,0.333333333333333,Ko_22,H15,-0.477121254719662,1.08584854431227,0.994674799384668
144,VC DMSO 0.3%,3,1,Ko_22,H13,0,1.08804539322211,1.03477982493229
145,VC DMSO 0.3%,3,0.00411522633744856,Ko_25,I11,-2.38560627359831,1.05240714116217,1.02923104527067
146,VC DMSO 0.3%,3,0.0123456790123457,Ko_25,I9,-1.90848501887865,1.03292366734928,1.0142546011704
147,VC DMSO 0.3%,3,0.037037037037037,Ko_25,I7,-1.43136376415899,1.09162117770305,1.07862501439339
148,VC DMSO 0.3%,3,0.111111111111111,Ko_25,I5,-0.954242509439325,0.921418105458302,0.965865035172844
149,VC DMSO 0.3%,3,0.333333333333333,Ko_25,I3,-0.477121254719662,0.8405681316222,1.02208248404871
150,VC DMSO 0.3%,3,1,Ko_25,I1,0,0.274359175212645,0.92290886763945
151,VC DMSO 0.3%,3,0.00411522633744856,Ko_26,I12,-2.38560627359831,1.08768388148967,1.0501908817759
152,VC DMSO 0.3%,3,0.0123456790123457,Ko_26,I10,-1.90848501887865,1.18875534728663,1.03402119403065
153,VC DMSO 0.3%,3,0.037037037037037,Ko_26,I8,-1.43136376415899,0.923147103712198,1.10794699586697
154,VC DMSO 0.3%,3,0.111111111111111,Ko_26,I6,-0.954242509439325,1.05229731300449,0.979896062442007
155,VC DMSO 0.3%,3,0.333333333333333,Ko_26,I4,-0.477121254719662,0.979798648214656,0.941902329129491
156,VC DMSO 0.3%,3,1,Ko_26,I2,0,0.475129841387856,1.18725957514582
157,VC DMSO 0.3%,3,0.00411522633744856,Ko_29,I23,-2.38560627359831,0.924762630416261,0.9731408283596
158,VC DMSO 0.3%,3,0.0123456790123457,Ko_29,I21,-1.90848501887865,1.05191045168496,0.910414291498562
159,VC DMSO 0.3%,3,0.037037037037037,Ko_29,I19,-1.43136376415899,1.09801295840286,0.956349033639512
160,VC DMSO 0.3%,3,0.111111111111111,Ko_29,I17,-0.954242509439325,1.06214430784863,1.06705243824174
161,VC DMSO 0.3%,3,0.333333333333333,Ko_29,I15,-0.477121254719662,0.593653520313271,1.07060992026139
162,VC DMSO 0.3%,3,1,Ko_29,I13,0,-0.203772697230978,-0.074726352898027
163,VC DMSO 0.3%,3,0.00411522633744856,Ko_30,I24,-2.38560627359831,0.881433087282353,0.87530951629626
164,VC DMSO 0.3%,3,0.0123456790123457,Ko_30,I22,-1.90848501887865,0.942788642089302,0.955726707142504
