"","vc","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"1","VC DMSO 0.3%",0.00411522633744856,"Ak_07",-2.38560627359831,0.674816149659301,0.817961510663594,0,0,0.674816149659301,0.817961510663594,NA,NA
"2","VC DMSO 0.3%",0.0123456790123457,"Ak_07",-1.90848501887865,0.812078212562892,0.872043455432535,0,0,0.812078212562892,0.872043455432535,NA,NA
"3","VC DMSO 0.3%",0.037037037037037,"Ak_07",-1.43136376415899,0.911766654650215,0.872034450023279,0,0,0.911766654650215,0.872034450023279,NA,NA
"4","VC DMSO 0.3%",0.111111111111111,"Ak_07",-0.954242509439325,0.90916154187034,0.856999273563655,0,0,0.90916154187034,0.856999273563655,NA,NA
"5","VC DMSO 0.3%",0.333333333333333,"Ak_07",-0.477121254719663,0.806236007692084,0.824720231521401,0,0,0.806236007692084,0.824720231521401,NA,NA
"6","VC DMSO 0.3%",1,"Ak_07",0,0.623766070282177,0.891075938745467,0,0,0.623766070282177,0.891075938745467,NA,NA
"7","VC DMSO 0.3%",0.00411522633744856,"Am_72",-2.38560627359831,0.726268412648471,0.814611557042573,0,0,0.726268412648471,0.814611557042573,NA,NA
"8","VC DMSO 0.3%",0.0123456790123457,"Am_72",-1.90848501887865,0.730148684766972,0.816712014008729,0,0,0.730148684766972,0.816712014008729,NA,NA
"9","VC DMSO 0.3%",0.037037037037037,"Am_72",-1.43136376415899,0.597580731351443,0.805015630531774,0,0,0.597580731351443,0.805015630531774,NA,NA
"10","VC DMSO 0.3%",0.111111111111111,"Am_72",-0.954242509439325,0.543545622628757,0.808260081378073,0,0,0.543545622628757,0.808260081378073,NA,NA
"11","VC DMSO 0.3%",0.333333333333333,"Am_72",-0.477121254719663,0.656599182559972,0.733318677660534,0,0,0.656599182559972,0.733318677660534,NA,NA
"12","VC DMSO 0.3%",1,"Am_72",0,0.289684122817876,0.654819447613543,0,0,0.289684122817876,0.654819447613543,NA,NA
"13","VC DMSO 0.3%",0.00411522633744856,"Am_86",-2.38560627359831,0.632653825118327,0.868472878767748,0,0,0.632653825118327,0.868472878767748,NA,NA
"14","VC DMSO 0.3%",0.0123456790123457,"Am_86",-1.90848501887865,0.711998732728336,0.874459017237673,0,0,0.711998732728336,0.874459017237673,NA,NA
"15","VC DMSO 0.3%",0.037037037037037,"Am_86",-1.43136376415899,0.717593123117698,0.906950745908069,0,0,0.717593123117698,0.906950745908069,NA,NA
"16","VC DMSO 0.3%",0.111111111111111,"Am_86",-0.954242509439325,0.656180483101988,0.855085712892182,0,0,0.656180483101988,0.855085712892182,NA,NA
"17","VC DMSO 0.3%",0.333333333333333,"Am_86",-0.477121254719663,0.601776439123335,0.741222451047016,0,0,0.601776439123335,0.741222451047016,NA,NA
"18","VC DMSO 0.3%",1,"Am_86",0,0.34025163890631,0.866874631561433,0,0,0.34025163890631,0.866874631561433,NA,NA
"19","VC DMSO 0.3%",0.00411522633744856,"Fh_12",-2.38560627359831,0.620031626885068,0.741526781464699,0,0,0.620031626885068,0.741526781464699,NA,NA
"20","VC DMSO 0.3%",0.0123456790123457,"Fh_12",-1.90848501887865,0.758790247031501,0.802224627818058,0,0,0.758790247031501,0.802224627818058,NA,NA
"21","VC DMSO 0.3%",0.037037037037037,"Fh_12",-1.43136376415899,0.918716318024117,0.929491052511235,0,0,0.918716318024117,0.929491052511235,NA,NA
"22","VC DMSO 0.3%",0.111111111111111,"Fh_12",-0.954242509439325,0.888096296191002,0.88315293726708,0,0,0.888096296191002,0.88315293726708,NA,NA
"23","VC DMSO 0.3%",0.333333333333333,"Fh_12",-0.477121254719663,0.78238066737023,0.846274522537185,0,0,0.78238066737023,0.846274522537185,NA,NA
"24","VC DMSO 0.3%",1,"Fh_12",0,0.706548525509458,0.899662790441736,0,0,0.706548525509458,0.899662790441736,NA,NA
"25","VC DMSO 0.3%",0.00411522633744856,"Gc_07",-2.38560627359831,0.622671806354773,0.928442452519262,0,0,0.622671806354773,0.928442452519262,NA,NA
"26","VC DMSO 0.3%",0.0123456790123457,"Gc_07",-1.90848501887865,0.720935815695512,0.986413570263108,0,0,0.720935815695512,0.986413570263108,NA,NA
"27","VC DMSO 0.3%",0.037037037037037,"Gc_07",-1.43136376415899,0.622087356039082,0.9330342577665,0,0,0.622087356039082,0.9330342577665,NA,NA
"28","VC DMSO 0.3%",0.111111111111111,"Gc_07",-0.954242509439325,0.639695192301699,0.894160459523536,0,0,0.639695192301699,0.894160459523536,NA,NA
"29","VC DMSO 0.3%",0.333333333333333,"Gc_07",-0.477121254719663,0.6260355619842,0.87798442547315,0,0,0.6260355619842,0.87798442547315,NA,NA
"30","VC DMSO 0.3%",1,"Gc_07",0,0.619087258932381,0.977289595819821,0,0,0.619087258932381,0.977289595819821,NA,NA
"31","VC DMSO 0.3%",0.00411522633744856,"Gc_23",-2.38560627359831,0.676275610699527,0.873522018456673,0,0,0.676275610699527,0.873522018456673,NA,NA
"32","VC DMSO 0.3%",0.0123456790123457,"Gc_23",-1.90848501887865,0.690595427813219,0.818732515423778,0,0,0.690595427813219,0.818732515423778,NA,NA
"33","VC DMSO 0.3%",0.037037037037037,"Gc_23",-1.43136376415899,0.705112604074959,0.880601671892939,0,0,0.705112604074959,0.880601671892939,NA,NA
"34","VC DMSO 0.3%",0.111111111111111,"Gc_23",-0.954242509439325,0.691423704891991,0.805532678612898,0,0,0.691423704891991,0.805532678612898,NA,NA
"35","VC DMSO 0.3%",0.333333333333333,"Gc_23",-0.477121254719663,0.838124047172888,0.796673502513117,0,0,0.838124047172888,0.796673502513117,NA,NA
"36","VC DMSO 0.3%",1,"Gc_23",0,0.201754573591397,0.596322336725732,0,0,0.201754573591397,0.596322336725732,NA,NA
"37","VC DMSO 0.3%",0.00411522633744856,"Gc_25",-2.38560627359831,0.698561685111707,0.920685822657828,0,0,0.698561685111707,0.920685822657828,NA,NA
"38","VC DMSO 0.3%",0.0123456790123457,"Gc_25",-1.90848501887865,0.786363002041161,0.914950758032524,0,0,0.786363002041161,0.914950758032524,NA,NA
"39","VC DMSO 0.3%",0.037037037037037,"Gc_25",-1.43136376415899,0.735107280909755,0.831851169065059,0,0,0.735107280909755,0.831851169065059,NA,NA
"40","VC DMSO 0.3%",0.111111111111111,"Gc_25",-0.954242509439325,0.835376638120902,0.839335691770075,0,0,0.835376638120902,0.839335691770075,NA,NA
"41","VC DMSO 0.3%",0.333333333333333,"Gc_25",-0.477121254719663,0.802897387852765,0.735458013235404,0,0,0.802897387852765,0.735458013235404,NA,NA
"42","VC DMSO 0.3%",1,"Gc_25",0,0.392760224904135,0.885269975703812,0,0,0.392760224904135,0.885269975703812,NA,NA
"43","VC DMSO 0.3%",0.00411522633744856,"Gc_26",-2.38560627359831,0.674023997908111,0.984404207072028,0,0,0.674023997908111,0.984404207072028,NA,NA
"44","VC DMSO 0.3%",0.0123456790123457,"Gc_26",-1.90848501887865,0.804746641506706,0.999556272812736,0,0,0.804746641506706,0.999556272812736,NA,NA
"45","VC DMSO 0.3%",0.037037037037037,"Gc_26",-1.43136376415899,0.809416868565936,0.966210794102509,0,0,0.809416868565936,0.966210794102509,NA,NA
"46","VC DMSO 0.3%",0.111111111111111,"Gc_26",-0.954242509439325,0.620129682521039,0.770715104290003,0,0,0.620129682521039,0.770715104290003,NA,NA
"47","VC DMSO 0.3%",0.333333333333333,"Gc_26",-0.477121254719663,0.688615344634405,0.901390715196502,0,0,0.688615344634405,0.901390715196502,NA,NA
"48","VC DMSO 0.3%",1,"Gc_26",0,0.214404614546005,0.955251890366099,0,0,0.214404614546005,0.955251890366099,NA,NA
"49","VC DMSO 0.3%",0.00411522633744856,"Gc_28",-2.38560627359831,0.860671402158104,0.920365357333038,0,0,0.860671402158104,0.920365357333038,NA,NA
"50","VC DMSO 0.3%",0.0123456790123457,"Gc_28",-1.90848501887865,0.85284383189007,0.835006602052946,0,0,0.85284383189007,0.835006602052946,NA,NA
"51","VC DMSO 0.3%",0.037037037037037,"Gc_28",-1.43136376415899,0.947247916349276,0.84072325240085,0,0,0.947247916349276,0.84072325240085,NA,NA
"52","VC DMSO 0.3%",0.111111111111111,"Gc_28",-0.954242509439325,0.996235939429148,0.866923444914189,0,0,0.996235939429148,0.866923444914189,NA,NA
"53","VC DMSO 0.3%",0.333333333333333,"Gc_28",-0.477121254719663,0.880768038177308,0.901916620407119,0,0,0.880768038177308,0.901916620407119,NA,NA
"54","VC DMSO 0.3%",1,"Gc_28",0,0.320572885054806,0.798429765944226,0,0,0.320572885054806,0.798429765944226,NA,NA
"55","VC DMSO 0.3%",0.00411522633744856,"Gc_32",-2.38560627359831,0.696384165992469,0.880067264734582,0,0,0.696384165992469,0.880067264734582,NA,NA
"56","VC DMSO 0.3%",0.0123456790123457,"Gc_32",-1.90848501887865,0.894581294384914,0.86674807306053,0,0,0.894581294384914,0.86674807306053,NA,NA
"57","VC DMSO 0.3%",0.037037037037037,"Gc_32",-1.43136376415899,0.8315980363652,0.901283705485595,0,0,0.8315980363652,0.901283705485595,NA,NA
"58","VC DMSO 0.3%",0.111111111111111,"Gc_32",-0.954242509439325,0.890987586729138,0.856599664778082,0,0,0.890987586729138,0.856599664778082,NA,NA
"59","VC DMSO 0.3%",0.333333333333333,"Gc_32",-0.477121254719663,0.784493039129054,0.879840750156559,0,0,0.784493039129054,0.879840750156559,NA,NA
"60","VC DMSO 0.3%",1,"Gc_32",0,0.261691255919037,0.755503671470698,0,0,0.261691255919037,0.755503671470698,NA,NA
"61","VC DMSO 0.3%",0.00411522633744856,"Gc_33",-2.38560627359831,0.847755873505307,0.938475109481589,0,0,0.847755873505307,0.938475109481589,NA,NA
"62","VC DMSO 0.3%",0.0123456790123457,"Gc_33",-1.90848501887865,0.809346581601522,0.912192011339556,0,0,0.809346581601522,0.912192011339556,NA,NA
"63","VC DMSO 0.3%",0.037037037037037,"Gc_33",-1.43136376415899,0.951505655905197,0.947873804943142,0,0,0.951505655905197,0.947873804943142,NA,NA
