"","vc","br","conc","cond","log10conc","Mm_in_infection_median","Dd_in_infection_median","Mm_in_infection_mad","Dd_in_infection_mad","Mm_in_infection_mean","Dd_in_infection_mean","Mm_in_infection_sd","Dd_in_infection_sd"
"1","VC DMSO 0.3%",2,0.00411522633744856,"-",-2.38560627359831,1.06700476820384,0.992060733419695,0.123463553086972,0.0548942316259952,1.03512726212545,0.977093915827678,0.146127232153055,0.0764013323475038
"2","VC DMSO 0.3%",2,0.0123456790123457,"-",-1.90848501887865,1.05942147734005,0.961559312194481,0.110844423527363,0.0668997427844038,1.03761094753251,0.95847715422791,0.131502694087574,0.0739643601635291
"3","VC DMSO 0.3%",2,0.037037037037037,"-",-1.43136376415899,1.05970680717703,0.954677161879431,0.103316902280055,0.0486984565993032,1.04195082468796,0.960716037600429,0.111708042100698,0.0699435542579069
"4","VC DMSO 0.3%",2,0.111111111111111,"-",-0.954242509439325,1.06977748622576,0.937270386864121,0.0868247204098496,0.0477182877278188,1.04990977270593,0.940708771722026,0.120035833644062,0.0603411062049677
"5","VC DMSO 0.3%",2,0.333333333333333,"-",-0.477121254719663,1.05179227489896,0.947901737781536,0.129305815483115,0.0616248219941996,1.0445114518336,0.947816564058115,0.120906033489927,0.0665264657454057
"6","VC DMSO 0.3%",2,1,"-",0,1.08195573022733,0.969789104420195,0.119441086331733,0.0551127400292109,1.05376789515059,0.963035678907264,0.117922814781915,0.0564240092740842
"7","VC DMSO 0.3%",2,0.00411522633744856,"Pt_48",-2.38560627359831,0.836913182561676,1.00584665275642,0,0,0.836913182561676,1.00584665275642,NA,NA
"8","VC DMSO 0.3%",2,0.0123456790123457,"Pt_48",-1.90848501887865,0.688710702723796,0.974728989428904,0,0,0.688710702723796,0.974728989428904,NA,NA
"9","VC DMSO 0.3%",2,0.037037037037037,"Pt_48",-1.43136376415899,0.85381702631938,0.999303130192324,0,0,0.85381702631938,0.999303130192324,NA,NA
"10","VC DMSO 0.3%",2,0.111111111111111,"Pt_48",-0.954242509439325,0.847283302618765,0.934098471282488,0,0,0.847283302618765,0.934098471282488,NA,NA
"11","VC DMSO 0.3%",2,0.333333333333333,"Pt_48",-0.477121254719663,0.834700460994107,0.912409843492913,0,0,0.834700460994107,0.912409843492913,NA,NA
"12","VC DMSO 0.3%",2,1,"Pt_48",0,0.501821973414552,0.848097495336987,0,0,0.501821973414552,0.848097495336987,NA,NA
"13","VC DMSO 0.3%",2,0.00411522633744856,"Sb_24",-2.38560627359831,0.882435824391545,0.968984251800349,0,0,0.882435824391545,0.968984251800349,NA,NA
"14","VC DMSO 0.3%",2,0.0123456790123457,"Sb_24",-1.90848501887865,1.01753833193842,0.918633301641454,0,0,1.01753833193842,0.918633301641454,NA,NA
"15","VC DMSO 0.3%",2,0.037037037037037,"Sb_24",-1.43136376415899,1.15914814170303,0.927534909982277,0,0,1.15914814170303,0.927534909982277,NA,NA
"16","VC DMSO 0.3%",2,0.111111111111111,"Sb_24",-0.954242509439325,1.50211412966375,0.860269681300082,0,0,1.50211412966375,0.860269681300082,NA,NA
"17","VC DMSO 0.3%",2,0.333333333333333,"Sb_24",-0.477121254719663,1.3947130432384,0.867598675922501,0,0,1.3947130432384,0.867598675922501,NA,NA
"18","VC DMSO 0.3%",2,1,"Sb_24",0,0.973524813649147,1.01027282151344,0,0,0.973524813649147,1.01027282151344,NA,NA
"19","VC DMSO 0.3%",2,0.00411522633744856,"Sb_25",-2.38560627359831,1.41833706327196,0.883081817508413,0,0,1.41833706327196,0.883081817508413,NA,NA
"20","VC DMSO 0.3%",2,0.0123456790123457,"Sb_25",-1.90848501887865,1.41580872992053,0.932057340947085,0,0,1.41580872992053,0.932057340947085,NA,NA
"21","VC DMSO 0.3%",2,0.037037037037037,"Sb_25",-1.43136376415899,1.37966399349273,0.918004946138988,0,0,1.37966399349273,0.918004946138988,NA,NA
"22","VC DMSO 0.3%",2,0.111111111111111,"Sb_25",-0.954242509439325,0.936740680292829,1.013496530778,0,0,0.936740680292829,1.013496530778,NA,NA
"23","VC DMSO 0.3%",2,0.333333333333333,"Sb_25",-0.477121254719663,0.655151244078955,1.09623401700008,0,0,0.655151244078955,1.09623401700008,NA,NA
"24","VC DMSO 0.3%",2,1,"Sb_25",0,0.235949868602875,0.859885284492363,0,0,0.235949868602875,0.859885284492363,NA,NA
"25","VC DMSO 0.3%",2,0.00411522633744856,"Sb_26",-2.38560627359831,1.35075301847182,0.988651787990635,0,0,1.35075301847182,0.988651787990635,NA,NA
"26","VC DMSO 0.3%",2,0.0123456790123457,"Sb_26",-1.90848501887865,0.969912297591332,1.01327953703047,0,0,0.969912297591332,1.01327953703047,NA,NA
"27","VC DMSO 0.3%",2,0.037037037037037,"Sb_26",-1.43136376415899,1.19710014304446,0.987861015386083,0,0,1.19710014304446,0.987861015386083,NA,NA
